상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적
A,골목상권,3110968,강남구청역 2번,203552,446131,11680,강남구,11680531,논현2동,43750
A,골목상권,3110969,베르사이유1아파트,203564,444383,11680,강남구,11680650,역삼2동,55302
A,골목상권,3110970,학동초등학교,203644,445789,11680,강남구,11680531,논현2동,50014
A,골목상권,3110971,선정릉역 4번,203791,445313,11680,강남구,11680640,역삼1동,133222
A,골목상권,3110972,강남세브란스병원미래의학연구센터,203759,443901,11680,강남구,11680650,역삼2동,46603
A,골목상권,3110973,강남구청역 4번,203850,446594,11680,강남구,11680565,청담동,66136
A,골목상권,3110983,국립국악고등학교,204448,442053,11680,강남구,11680690,개포4동,56042
A,골목상권,3110984,포이초등학교(개포목련어린이공원),204610,441598,11680,강남구,11680690,개포4동,137098
A,골목상권,3110985,청담근린공원,204605,447083,11680,강남구,11680565,청담동,43265
A,골목상권,3110986,삼성중앙역 7번,204629,445676,11680,강남구,11680590,삼성2동,15944
A,골목상권,3110987,영동대교남단,204745,447403,11680,강남구,11680565,청담동,31393
A,골목상권,3111002,한국교통안전공단 강남자동차검사소,210568,441126,11680,강남구,11680700,세곡동,59241
A,골목상권,3110988,청담역 3번,204796,446536,11680,강남구,11680580,삼성1동,79185
A,골목상권,3110989,대치동아우편취급국,204819,444825,11680,강남구,11680630,대치4동,40587
A,골목상권,3110990,청담역 12번,204869,446787,11680,강남구,11680565,청담동,10107
A,골목상권,3110991,삼성중앙역 5번,204965,445889,11680,강남구,11680580,삼성1동,26622
A,골목상권,3110992,도곡초등학교,205007,444509,11680,강남구,11680630,대치4동,138866
A,골목상권,3110993,개포지하차도 북측,205172,442045,11680,강남구,11680660,개포1동,37865
A,골목상권,3110994,개포고등학교,205433,442662,11680,강남구,11680670,개포2동,61589
A,골목상권,3110995,봉은사역 4번,205554,446410,11680,강남구,11680580,삼성1동,122757
A,골목상권,3110996,대치2동주민센터,205656,444713,11680,강남구,11680610,대치2동,112841
A,골목상권,3110949,한남IC,201701,446824,11680,강남구,11680510,신사동,62126
A,골목상권,3110950,논현역 7번,202115,446018,11680,강남구,11680521,논현1동,46164
A,골목상권,3110951,신사은행나무공원,202237,446807,11680,강남구,11680510,신사동,29000
A,골목상권,3110952,논현목련공원,202337,445761,11680,강남구,11680521,논현1동,21629
A,골목상권,3110953,학동근린공원,202401,446272,11680,강남구,11680521,논현1동,92947
A,골목상권,3110954,국기원,202530,444776,11680,강남구,11680640,역삼1동,39799
A,골목상권,3110955,논현초등학교,202603,445503,11680,강남구,11680521,논현1동,190913
A,골목상권,3110956,언주역 8번,202762,445017,11680,강남구,11680640,역삼1동,71587
A,골목상권,3110997,대청초등학교,207481,443569,11680,강남구,11680730,일원1동,236964
A,골목상권,3110998,은곡마을(은곡마을공원),208665,440810,11680,강남구,11680700,세곡동,116896
A,골목상권,3110999,윗방죽마을공원,209190,441356,11680,강남구,11680700,세곡동,239797
A,골목상권,3111000,대왕초등학교(세곡동사거리서남측),209464,440465,11680,강남구,11680700,세곡동,52892
A,골목상권,3111001,아래방죽마을공원(율현초등학교),209611,441303,11680,강남구,11680700,세곡동,159591
A,골목상권,3110957,언북중학교,202797,446468,11680,강남구,11680531,논현2동,94815
A,골목상권,3110958,역삼역 4번,202887,444846,11680,강남구,11680640,역삼1동,73119
A,골목상권,3110959,신구중학교,202859,447326,11680,강남구,11680545,압구정동,35960
A,골목상권,3110960,은광여고,203027,443113,11680,강남구,11680655,도곡1동,25543
A,골목상권,3110961,언주역 3번,203028,445716,11680,강남구,11680531,논현2동,63031
A,골목상권,3110962,도산공원북측,203103,447371,11680,강남구,11680545,압구정동,10044
A,골목상권,3110963,역삼월드메르디앙아파트,203282,443673,11680,강남구,11680640,역삼1동,40391
A,골목상권,3110964,싸리고개근린공원,203329,443418,11680,강남구,11680655,도곡1동,21894
A,골목상권,3110965,언주역 6번,203346,445193,11680,강남구,11680640,역삼1동,65108
A,골목상권,3110974,언주중학교,203972,446014,11680,강남구,11680590,삼성2동,35151
A,골목상권,3110975,매봉역 1번,203984,443063,11680,강남구,11680655,도곡1동,52363
A,골목상권,3110976,언북초등학교,204115,446924,11680,강남구,11680565,청담동,55724
A,골목상권,3110977,논현로18길,204154,442000,11680,강남구,11680690,개포4동,17288
A,골목상권,3110978,도곡2동주민센터(대치중학교),204135,442692,11680,강남구,11680656,도곡2동,14234
A,골목상권,3110979,청담초등학교,204205,447539,11680,강남구,11680565,청담동,63403
A,골목상권,3110980,개포지구대옆,204236,442346,11680,강남구,11680690,개포4동,85828
A,골목상권,3110981,국악고교사거리,204328,441797,11680,강남구,11680690,개포4동,67409
A,골목상권,3110982,강남구보훈회관,204400,446173,11680,강남구,11680590,삼성2동,19865
A,골목상권,3110966,논현2동주민센터,203386,446575,11680,강남구,11680531,논현2동,93545
A,골목상권,3110967,역삼역 8번,203374,445011,11680,강남구,11680640,역삼1동,68672
D,발달상권,3120185,논현역,201936,445730,11680,강남구,11680521,논현1동,321182
D,발달상권,3120186,가로수길,201996,446810,11680,강남구,11680510,신사동,256688
D,발달상권,3120208,청담사거리(청담동명품거리),204217,447261,11680,강남구,11680565,청담동,331337
D,발달상권,3120209,"강남구청(청담역_8번, 강남세무서)",204377,446586,11680,강남구,11680565,청담동,134148
D,발달상권,3120210,선릉역,204364,445017,11680,강남구,11680630,대치4동,360434
D,발달상권,3120211,도성초등학교,204639,444576,11680,강남구,11680630,대치4동,72437
D,발달상권,3120212,한티역,204740,444220,11680,강남구,11680630,대치4동,112734
D,발달상권,3120213,삼성중앙역,204752,445788,11680,강남구,11680590,삼성2동,228925
D,발달상권,3120214,영동대교남단교차로,204844,447175,11680,강남구,11680565,청담동,89136
D,발달상권,3120215,포스코사거리,204975,445263,11680,강남구,11680590,삼성2동,318626
D,발달상권,3120216,경기고교사거리(경기고교앞사거리),205005,446809,11680,강남구,11680565,청담동,71695
D,발달상권,3120217,대치사거리,205165,444843,11680,강남구,11680630,대치4동,159411
D,발달상권,3120218,코엑스,205226,445856,11680,강남구,11680580,삼성1동,145396
D,발달상권,3120219,은마아파트,205359,444378,11680,강남구,11680630,대치4동,149660
D,발달상권,3120220,대치역,205508,443861,11680,강남구,11680600,대치1동,163253
D,발달상권,3120221,봉은사역,205516,446111,11680,강남구,11680580,삼성1동,124926
D,발달상권,3120222,삼성역,205584,445468,11680,강남구,11680610,대치2동,356337
D,발달상권,3120223,휘문고교사거리,205806,444988,11680,강남구,11680610,대치2동,133570
D,발달상권,3120224,수서역,209112,443153,11680,강남구,11680750,수서동,60183
D,발달상권,3120187,신논현역,202235,445062,11680,강남구,11680521,논현1동,382392
D,발달상권,3120188,압구정역,202482,447331,11680,강남구,11680510,신사동,251746
D,발달상권,3120199,경복아파트교차로,203449,445392,11680,강남구,11680640,역삼1동,112742
D,발달상권,3120200,학동사거리,203460,447067,11680,강남구,11680565,청담동,266597
D,발달상권,3120201,도곡1동,203531,443680,11680,강남구,11680640,역삼1동,169293
D,발달상권,3120202,압구정로데오역(압구정로데오),203548,447476,11680,강남구,11680545,압구정동,265702
D,발달상권,3120203,강남구청역,203597,446308,11680,강남구,11680531,논현2동,173252
D,발달상권,3120204,르네상스호텔사거리,203786,444848,11680,강남구,11680640,역삼1동,160960
D,발달상권,3120205,매봉역,203882,442769,11680,강남구,11680656,도곡2동,122443
D,발달상권,3120206,개나리아파트,203905,444200,11680,강남구,11680650,역삼2동,148412
D,발달상권,3120207,선정릉역,204022,445778,11680,강남구,11680590,삼성2동,323475
D,발달상권,3120190,강남을지병원,202498,446725,11680,강남구,11680545,압구정동,295195
D,발달상권,3120191,학동역,202659,446009,11680,강남구,11680521,논현1동,366287
D,발달상권,3120192,뱅뱅사거리,202785,443423,11680,강남구,11680640,역삼1동,317600
D,발달상권,3120193,도산공원교차로,202968,446898,11680,강남구,11680545,압구정동,185023
D,발달상권,3120194,언주역(차병원),203009,445326,11680,강남구,11680531,논현2동,242446
D,발달상권,3120195,성수대교남단,203046,447576,11680,강남구,11680545,압구정동,126830
D,발달상권,3120196,서울세관,203125,446206,11680,강남구,11680531,논현2동,185480
D,발달상권,3120197,역삼역,203179,444549,11680,강남구,11680640,역삼1동,562807
D,발달상권,3120198,구역삼세무서,203290,444009,11680,강남구,11680640,역삼1동,291470
R,전통시장,3130302,강남시장(강남구 강남시장),201828,446589,11680,강남구,11680510,신사동,3961
R,전통시장,3130303,영동전통시장,202138,445525,11680,강남구,11680521,논현1동,39097
R,전통시장,3130304,신사상가,202510,448092,11680,강남구,11680545,압구정동,2739
R,전통시장,3130305,논현종합시장,203038,445603,11680,강남구,11680531,논현2동,6787
R,전통시장,3130306,강남언주로,203794,445045,11680,강남구,11680640,역삼1동,22922
R,전통시장,3130307,도곡시장,204573,444284,11680,강남구,11680650,역삼2동,7462
R,전통시장,3130308,청담삼익시장,205090,446987,11680,강남구,11680565,청담동,7529
R,전통시장,3130309,은마종합상점가,205628,444032,11680,강남구,11680610,대치2동,30661
R,전통시장,3130310,강남개포시장,205978,443274,11680,강남구,11680670,개포2동,25364
U,관광특구,3001496,강남 마이스 관광특구,205282,445736,11680,강남구,11680580,삼성1동,237892
