강남 상권 구분,지하1층 임대료,1층 임대료,2층 임대료,3층 임대료,4층 임대료,5층 임대료
강남,19.4,56.9,28.2,23.6,21.3,20.6
강남 강남대로,35.2,106.1,46.1,36.0,29.9,30.1
강남 교대역,12.5,30.9,19.5,21.5,15.9,18.2
강남 남부터미널,10.8,30.9,19.3,17.3,15.9,16.4
강남 논현역,15.0,53.1,23.8,19.1,17.0,16.2
강남 도산대로,22.5,46.0,27.9,24.0,21.5,23.4
강남 방배역/내방역,13.7,39.5,21.8,19.7,19.4,20.3
강남 서래마을,18.5,44.6,21.0,19.3,17.2,16.8
강남 신사역,25.7,84.1,33.6,23.4,21.2,18.5
강남 압구정,15.3,47.5,29.0,25.5,26.7,22.4
강남 양재말죽거리,10.2,38.0,20.2,18.1,17.7,16.7
강남 양재역,12.1,39.4,19.7,19.1,19.5,17.2
강남 청담,17.0,59.2,29.2,23.5,21.1,20.9
강남 테헤란로,25.9,46.7,33.0,25.4,21.9,21.9
강남 학동/강남구청역,18.6,49.5,26.0,21.5,22.1,21.5
